UBICACI‡N;LATITUD;LONGITUD;Suma de TOTAL;D°as (FECHA)
 AV. JAVIER PRADO ESTE ;-12.08421;-76.97371;59049;17-Ago
ANTIGUA PANAMERICANA;-12.38317;-76.77499;5623;24-Ago
ANTIGUA PANAMERICANA SUR;-12.27624;-76.87031;22366;24-Ago
ANTIGUA PANAMERICANA SUR ;-12.25422;-76.91971;12815;6-Set
ANTIGUA PANAMERICANA SUR ;-12.22226;-76.97443;27642;6-Set
AV. 12 OCTUBRE;-12.03786;-77.09121;11616;21-Nov
AV. 200;-11.84329;-77.14069;7014;10-Ago
AV. 26 DE NOVIEMBRE ;-12.17802;-76.94019;23672;7-Nov
AV. AGUSTIN LAROSA LOZANO;-12.13347;-76.97667;31048;23-Ago
AV. ALEJANDRO BERTELLO BOLLATI;-12.01025;-77.10598;27161;7-Nov
AV. ALFONSO UGARTE;-12.03962;-77.04346;102177;10-Ago
AV. ANGELICA GAMARRA;-12.00553;-77.0687;41620;7-Nov
AV. AREQUIPA ;-12.11428;-77.02977;27645;4-Jul
AV. ARGENTINA;-12.05105;-77.12745;15140;16-Ago
AV. ARGENTINA ;-12.04424;-77.05152;35723;4-Jul
AV. ATALAYA ;-12.04474;-77.1268;3154;16-Ago
AV. AUGUSTO PEREZ ARANIBAR;-12.1081;-77.05352;36176;7-Set
AV. CAMINO REAL;-11.86486;-77.03114;24026;7-Nov
AV. CANADA;-12.07835;-76.98995;12709;4-Jul
AV. CANADA (N. DUE•AS);-12.03593;-77.06606;30488;8-Set
AV. CANTA CALLAO;-11.98368;-77.09926;56290;7-Nov
AV. CANTO GRANDE ;-11.98142;-77.01276;40062;22-Ago
AV. CARLOS IZAGUIRRE;-11.99027;-77.06585;27212;7-Nov
AV. CIRCUNVALACION ;-12.07801;-76.98886;59875;29-Ago
AV. DEFENSORES DEL MORRO;-12.17394;-77.01944;59480;24-Ago
AV. DEL EJERCITO;-12.10221;-77.05821;22128;4-Jul
AV. EL SOL;-12.20061;-76.94472;30684;24-Ago
AV. ELMER FAUCETT;-12.07284;-77.09888;38411;8-Ago
AV. ELMER FAUCETT ;-12.02469;-77.1046;105236;16-Ago
AV. FERNANDO WIESSE;-11.93505;-76.96971;30626;5-Set
AV. HEROES DEL ALTO CENEPA;-11.91117;-77.05625;52164;8-Ago
AV. HUANCARAY;-12.04282;-76.96742;22063;15-Ago
AV. JAVIER PRADO;-12.09149;-77.02694;102936;7-Set
AV. JOSE GRANDA;-12.02595;-77.07589;28008;13-Jul
AV. LA PAZ;-12.08423;-77.09628;24994;29-Ago
AV. LA PLAYA;-11.87643;-77.13542;23465;7-Nov
AV. LOS ARQUITECTOS;-11.8143;-77.12959;7257;16-Ago
AV. LOS DOMINICOS;-12.01468;-77.09418;28274;16-Ago
AV. LOS HEROES;-12.15099;-76.97999;75635;22-Ago
AV. MALECON CHECA ;-12.02404;-76.97643;39321;15-Ago
AV. MANCO CAPAC ;-12.0724;-77.02805;28145;17-Ago
AV. MARIANO PASTOR SEVILLA;-12.20173;-76.955;50959;24-Ago
AV. MATEO PUMACAHUA ;-12.19314;-76.96798;54868;24-Ago
AV. MIGUEL GRAU (BUENOS AIRES);-12.06058;-77.13145;19036;16-Ago
AV. MORALES DUAREZ;-12.04054;-77.11524;23636;8-Ago
AV. NESTOR GAMBETTA;-12.03819;-77.12725;43506;8-Ago
AV. NESTOR GAMBETTA;-11.93915;-77.13125;39839;16-Ago
AV. NESTOR GAMBETTA;-11.83792;-77.11129;34980;10-Ago
AV. NICOLAS AYLLON;-11.97315;-76.75898;29542;15-Ago
AV. NICOLAS AYLLON ;-12.05732;-76.97019;52461;16-Ago
AV. NICOLAS AYLLON ;-12.00596;-76.84768;41966;15-Ago
AV. OSCAR BENAVIDES;-12.04946;-77.07284;45291;8-Ago
AV. P. DE LA REPUBLICA ;-12.09504;-77.02389;159766;17-Ago
AV. PANAMERICANA NORTE ;-12.03173;-76.99229;98052;15-Ago
AV. PANAMERICANA NORTE ;-11.95707;-77.06908;84287;8-Ago
AV. PASEO DE LA REPUBLICA ;-12.17706;-77.01137;29838;22-Ago
AV. PEDRO MIOTTA;-12.15527;-76.9831;10564;23-Ago
AV. PERU;-12.03205;-77.06625;43504;10-Ago
AV. PERU ;-12.03002;-77.09412;18764;7-Nov
AV. PIRAMIDE DEL SOL;-12.02809;-77.00082;27277;31-Ago
AV. PRIMAVERA ;-12.11022;-76.97574;87361;22-Ago
AV. PROLONGACI‡N HUAYLAS;-12.18503;-77.00746;57053;6-Set
AV. PROLONGACI‡N TACNA;-12.04226;-77.03444;61441;31-Ago
AV. RAMIRO PRIALE;-12.02515;-76.96639;41957;15-Ago
AV. RAMON VARGAS MACHUCA;-12.1677;-76.9789;60098;24-Ago
AV. REPUBLICA DE VENEZUELA;-12.06243;-77.09659;14421;16-Ago
AV. RIVA AGöERO ;-12.04209;-76.99748;20023;16-Ago
AV. SAN JUAN DE DIOS;-11.86393;-77.06894;36048;10-Ago
AV. SAN LUIS;-12.08789;-76.9966;29891;15-Ago
AV. SANTA ROSA DE LIMA ;-11.97948;-76.99194;26440;22-Ago
AV. SEPARADORA INDUSTRIAL ;-12.23951;-76.91417;24140;24-Ago
AV. STA. ROSA;-12.0731;-77.12358;33118;7-Nov
AV. TOMAS DEL VALLE ;-12.02132;-77.10412;36190;16-Ago
AV. TUPAC AMARU;-11.87415;-77.01606;24832;8-Ago
AV. TUPAC AMARU;-11.83681;-76.99911;11400;8-Ago
AV. TUPAC AMARU ;-11.90901;-77.03524;24637;10-Ago
AV. UNIVERSITARIA;-12.03519;-77.07808;48351;9-Ago
AV. UNIVERSITARIA ;-12.06732;-77.07784;41816;8-Ago
AV. UNIVERSITARIA ;-11.90157;-77.04002;29807;8-Ago
AV. VICTOR MALASQUEZ;-12.08462;-76.87642;19676;17-Ago
CARR 116;-11.84893;-76.63484;305;15-Ago
CARR. CENTRAL 22;-11.91003;-76.57868;4991;15-Ago
CARR. PANAMERICANA S.;-12.45613;-76.75388;19974;24-Ago
CIRCUITO DE PLAYAS;-12.14098;-77.02692;80457;22-Ago
CIRCUITO DE PLAYAS;-12.09282;-77.08221;84412;22-Ago
CIRCUITO DE PLAYAS INGRESO;-12.12505;-77.03917;84457;22-Ago
CTRA. PANAMERICANA NORTE ;-11.86202;-77.0778;49031;10-Ago
CTRA. PANAMERICANA NTE;-11.75015;-77.14591;15293;10-Ago
CTRA. PANAMERICANA NTE.;-12.03892;-77.01475;121891;7-Set
CTRA. PANAMERICANA NTE. ;-11.99944;-77.06245;200947;8-Ago
CTRA. PANAMERICANA SUR ;-12.19483;-76.97276;60184;24-Ago
CTRO. PANAMERICANA SUR ;-12.13703;-76.97996;142725;22-Ago
ELMER FAUCETT;-12.03961;-77.09927;106984;8-Ago
JR. GUARDIA CIVIL SUR ;-12.1781;-76.99638;31938;22-Ago
LINEA AMARILLA (NTE);-12.04322;-77.0192;30388;5-Set
NIEVE NIEVE;-12.04194;-76.71975;601;17-Ago
PANAMERICANA NORTE;-12.03429;-77.05185;136524;10-Ago
PANAMERICANA SUR;-12.09324;-76.98041;174824;17-Ago
PROL. HUAYLAS;-12.19451;-77.00194;38299;24-Ago
PUENTE ABANCAY;-12.04416;-77.02478;56026;4-Jul
PUENTE CHINCHAYSUYO;-12.02781;-76.99977;28664;5-Set
PUENTE HUACHIPA;-12.01484;-76.90026;40347;15-Ago
PUENTE HUANUCO;-12.04311;-77.01916;58914;29-Ago
PUENTE •A•A (ATAHUALPA);-11.98507;-76.8204;20839;16-Ago
PUERTA AEROPUERTO;-12.02229;-77.10617;15012;8-Ago
ROSENDO VIDAURRE (PASEO DE LA REP.);-12.13451;-77.01944;83295;22-Ago
SERPENTIN PASAMAYO;-11.74767;-77.16367;4902;10-Ago
TERRENO PACHACAMAC;-12.13678;-76.80357;1125;17-Ago
